track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,deezer_playlist_count,deezer_playlist_reach,shazam_counts,explicit_track
One Right Now (with The Weeknd),One Right Now,Post Malone,2021-11-05,USUM72120404,963,49.2,631789333.0,99512.0,27179361.0,65.0,182180447.0,1908939.0,30141.0,12902227.0,181078488.0,954672882.0,89.0,255213.0,25.0,858001.0,2041348.0,1
A Thousand Years,A Thousand Years,Christina Perri,2011-10-18,USAT21102141,964,49.2,1654956613.0,177834.0,80060384.0,77.0,2989286684.0,19870174.0,4479720.0,848530861.0,8594414469.0,1579447076.0,94.0,88803.0,66.0,114244.0,15974659.0,0
Secreto,Secreto,Anuel AA,2019-01-15,USXDR1900020,957,49.2,759388276.0,68502.0,18835572.0,65.0,1595484197.0,8161642.0,609042.0,40357374.0,543804719.0,306014364.0,40.0,159.0,43.0,358784.0,1317266.0,0
Toda Remix - Remix,Toda (Remix),Alex Rose,2018-06-01,QM4TX1838235,959,49.2,482021697.0,68578.0,13363939.0,66.0,1965829285.0,5786525.0,696400.0,34322459.0,289741256.0,30691906.0,25.0,2857.0,5.0,41009.0,2148531.0,1
I Hate U,I Hate U - Single,SZA,2021-12-03,USRC12103605,956,49.2,456871037.0,71261.0,34724014.0,66.0,142820854.0,1393679.0,877769.0,211488170.0,1676387442.0,85726782.0,105.0,136784.0,29.0,699151.0,1854776.0,1
Better Now,beerbongs & bentleys,Post Malone,2018-04-27,USUM71805170,962,49.2,1953403531.0,239092.0,47844195.0,74.0,48443287.0,734538.0,104133.0,9802093.0,97061584.0,100962228.0,144.0,350458.0,59.0,582382.0,8827325.0,1
Call Me Maybe,Kiss,Carly Rae Jepsen,2012-01-01,CAB391100615,960,49.2,1394048309.0,211162.0,114187117.0,77.0,2007334200.0,12223928.0,418014.0,40431475.0,367016981.0,1811023591.0,222.0,200327.0,145.0,1939414.0,14252942.0,0
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,2019-02-01,DEUM71807719,966,49.2,995452298.0,188608.0,44047615.0,65.0,464369299.0,4586152.0,742947.0,75493341.0,1282810923.0,34091844.0,255.0,171176.0,166.0,2039570.0,14464887.0,0
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,2023-05-22,INH102307782,961,49.2,203379355.0,14067.0,8370027.0,63.0,361600873.0,2581315.0,182364.5,27141268.0,265551910.0,110775514.0,16.0,1319.0,15.0,230295.0,376272.0,0
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,2023-10-11,QZTB72322595,967,49.1,140356426.0,9363.0,5604254.0,67.0,87822276.0,963707.0,849600.0,119963984.0,1057039331.0,261296658.0,4.0,4.0,6.0,5463321.0,961258.0,0
Ram Pam Pam,Ram Pam Pam,NATTI NATASHA,2021-04-20,USB272100106,968,49.1,257167813.0,38896.0,13810240.0,55.0,794011391.0,4280865.0,1887815.0,202617114.0,2167134347.0,350033186.0,69.0,28737.0,20.0,116868.0,1621368.0,1
